Artist,Stage,Date,Time
"ANYMA","<UNKNOWN>","<UNKNOWN>","TBA"
"ARMIN VAN BUUREN X ADAM BEYER","<UNKNOWN>","<UNKNOWN>","TBA"
"ARODES","<UNKNOWN>","<UNKNOWN>","TBA"
"BINI","<UNKNOWN>","<UNKNOWN>","TBA"
"BLOOD ORANGE","<UNKNOWN>","<UNKNOWN>","TBA"
"BOB BAKER MARIONETTES","<UNKNOWN>","<UNKNOWN>","TBA"
"CACHIRULA & LOOJAN","<UNKNOWN>","<UNKNOWN>","TBA"
"CAROLINA DURANTE","<UNKNOWN>","<UNKNOWN>","TBA"
"CENTRAL CEE","<UNKNOWN>","<UNKNOWN>","TBA"
"CHLOÉ CAILLET X ROSSI.","<UNKNOWN>","<UNKNOWN>","TBA"
"CMAT","<UNKNOWN>","<UNKNOWN>","TBA"
"CREEPY NUTS","<UNKNOWN>","<UNKNOWN>","TBA"
"DABEULL","<UNKNOWN>","<UNKNOWN>","TBA"
"DEVO","<UNKNOWN>","<UNKNOWN>","TBA"
"DIJON","<UNKNOWN>","<UNKNOWN>","TBA"
"DISCLOSURE","<UNKNOWN>","<UNKNOWN>","TBA"
"ETHEL CAIN","<UNKNOWN>","<UNKNOWN>","TBA"
"FAKEMINK","<UNKNOWN>","<UNKNOWN>","TBA"
"FEBUARY","<UNKNOWN>","<UNKNOWN>","TBA"
"FLESHWATER","<UNKNOWN>","<UNKNOWN>","TBA"
"FLOWEROVLOVE","<UNKNOWN>","<UNKNOWN>","TBA"
"FOSTER THE PEOPLE","<UNKNOWN>","<UNKNOWN>","TBA"
"GORDO","<UNKNOWN>","<UNKNOWN>","TBA"
"GROOVE ARMADA (DJ SET)","<UNKNOWN>","<UNKNOWN>","TBA"
"HAMDI","<UNKNOWN>","<UNKNOWN>","TBA"
"HOLLY HUMBERSTONE","<UNKNOWN>","<UNKNOWN>","TBA"
"HOT MULLIGAN","<UNKNOWN>","<UNKNOWN>","TBA"
"HUGEL","<UNKNOWN>","<UNKNOWN>","TBA"
"JESSICA BRANKKA","<UNKNOWN>","<UNKNOWN>","TBA"
"JOOST","<UNKNOWN>","<UNKNOWN>","TBA"
"JOYCE MANOR","<UNKNOWN>","<UNKNOWN>","TBA"
"KATSEYE","<UNKNOWN>","<UNKNOWN>","TBA"
"KETTAMA","<UNKNOWN>","<UNKNOWN>","TBA"
"LEVITY","<UNKNOWN>","<UNKNOWN>","TBA"
"LYKKE LI","<UNKNOWN>","<UNKNOWN>","TBA"
"MARLON HOFFSTADT","<UNKNOWN>","<UNKNOWN>","TBA"
"MAX DEAN X LUKE DEAN","<UNKNOWN>","<UNKNOWN>","TBA"
"MAX STYLER","<UNKNOWN>","<UNKNOWN>","TBA"
"MOBY","<UNKNOWN>","<UNKNOWN>","TBA"
"NEWDAD","<UNKNOWN>","<UNKNOWN>","TBA"
"NINAJIRACHI","<UNKNOWN>","<UNKNOWN>","TBA"
"NINE INCH NOIZE","<UNKNOWN>","<UNKNOWN>","TBA"
"PROSPA","<UNKNOWN>","<UNKNOWN>","TBA"
"SABRINA CARPENTER","<UNKNOWN>","<UNKNOWN>","TBA"
"SAHAR Z","<UNKNOWN>","<UNKNOWN>","TBA"
"SEXYY RED","<UNKNOWN>","<UNKNOWN>","TBA"
"SLAYYYTER","<UNKNOWN>","<UNKNOWN>","TBA"
"TEDDY SWIMS","<UNKNOWN>","<UNKNOWN>","TBA"
"THE TWO LIPS","<UNKNOWN>","<UNKNOWN>","TBA"
"THE XX","<UNKNOWN>","<UNKNOWN>","TBA"
"TURNSTILE","<UNKNOWN>","<UNKNOWN>","TBA"
"WEDNESDAY","<UNKNOWN>","<UNKNOWN>","TBA"
"YOUNA","<UNKNOWN>","<UNKNOWN>","TBA"
