Artist,Stage,Date,Time
"$AMI G","<UNKNOWN>","Friday May 16","TBA"
"2AR","<UNKNOWN>","Friday May 16","TBA"
"33 BELOW B2B MPH","Stereo Bloom","Sunday May 18","TBA"
"6EJOU","Wasteland","Friday May 16","TBA"
"ADAM TEN B2B MITA GAMI","Neon Garden","Friday May 16","TBA"
"ADRENALIZE","Wasteland","Sunday May 18","TBA"
"AFROJACK","Kinetic Field","Saturday May 17","TBA"
"AFROMANTIS COLLECTIVE","Ubuntu","Friday May 16","TBA"
"AHEE","Basspod","Friday May 16","TBA"
"AHMED SPINS","Stereo Bloom","Saturday May 17","TBA"
"AIRRICA","Neon Garden","Friday May 16","TBA"
"ALCALA BROS","Blacklight Bar","Friday May 16","TBA"
"ALESSO","Kinetic Field","Friday May 16","TBA"
"ALEX CHAPMAN + ZOE GITTER","Bionic Jungle","Friday May 16","TBA"
"ALIGNMENT","Neon Garden","Sunday May 18","TBA"
"ALISON WONDERLAND B2B KASKADE","Cosmic Meadow","Sunday May 18","TBA"
"ALISON WONDERLAND (THROWBACK MIXMAG SET)","Forest House","Sunday May 18","TBA"
"ALLENORA","BeatBox Art Car","Sunday May 18","TBA"
"ALLEYCVT","Circuit Grounds","Sunday May 18","TBA"
"ALOK","Kinetic Field","Friday May 16","TBA"
"AMAL NEMER","Stereo Bloom","Saturday May 17","TBA"
"AMELIE LENS","Neon Garden","Sunday May 18","TBA"
"AMÉMÉ","Stereo Bloom","Saturday May 17","TBA"
"ANATTA","Metaphoenix","Saturday May 17","TBA"
"ANDRE POWER","Ubuntu","Sunday May 18","TBA"
"ANDROMEDIK","Basspod","Friday May 16","TBA"
"ANDY C","Basspod","Friday May 16","TBA"
"ANGEL CANNON","Wasteland","Saturday May 17","TBA"
"ANIME","Wasteland","Friday May 16","TBA"
"ANNICKA","Circuit Grounds","Friday May 16","TBA"
"ANOLUXX","Wasteland","Sunday May 18","TBA"
"APASHE","Basspod","Friday May 16","TBA"
"AQUTIE","Ubuntu","Saturday May 17","TBA"
"THE ARCHER B2B LOCO & JAM","Forest House","Sunday May 18","TBA"
"ARGY","Quantum Valley","Sunday May 18","TBA"
"ARMAN.","Blacklight Bar","Friday May 16","TBA"
"ARMAND VAN HELDEN","Circuit Grounds","Friday May 16","TBA"
"ARMIN VAN BUUREN","Kinetic Field","Sunday May 18","TBA"
"ARMNHMR","Cosmic Meadow","Friday May 16","TBA"
"ARODES","Quantum Valley","Sunday May 18","TBA"
"ARODES","Forest House","Sunday May 18","TBA"
"ARTBAT B2B MORTEN","Kinetic Field","Sunday May 18","TBA"
"ASSEMBLY","Forest House","Sunday May 18","TBA"
"ATLIENS","Circuit Grounds","Sunday May 18","TBA"
"AVALON","Quantum Valley","Friday May 16","TBA"
"AVI SNOW","Metaphoenix","Friday May 16","TBA"
"AYYBO","Cosmic Meadow","Saturday May 17","TBA"
"BACKCOURT","Blacklight Bar","Sunday May 18","TBA"
"BAGGI","Cosmic Meadow","Friday May 16","TBA"
"BASSTRIPPER B2B SOTA","Basspod","Friday May 16","TBA"
"BASSWELL","Wasteland","Friday May 16","TBA"
"BELTRAN","Neon Garden","Saturday May 17","TBA"
"BEN HEMSLEY","Quantum Valley","Saturday May 17","TBA"
"BEN NICKY","Kinetic Field","Saturday May 17","TBA"
"BEN STERLING B2B ROSSI.","Neon Garden","Friday May 16","TBA"
"BEN STERLING B2B BELTRAN","Bionic Jungle","Sunday May 18","TBA"
"BEN STERLING B2B AHMED SPINS","Bionic Jungle","Sunday May 18","TBA"
"BICEP PRESENT CHROMA","Cosmic Meadow","Saturday May 17","TBA"
"BIG DADDY KESS","Forest House","Friday May 16","TBA"
"BIIA","Wasteland","Friday May 16","TBA"
"BILLY GILLIES","Quantum Valley","Saturday May 17","TBA"
"BISCITS","Stereo Bloom","Friday May 16","TBA"
"BLACK TIGER SEX MACHINE","Circuit Grounds","Sunday May 18","TBA"
"BLKLGHT","Blacklight Bar","Sunday May 18","TBA"
"BLOND:ISH","Neon Garden","Friday May 16","TBA"
"BO KNOWS","Blacklight Bar","Sunday May 18","TBA"
"BOIZY","Forest House","Friday May 16","TBA"
"BONES","Blacklight Bar","Saturday May 17","TBA"
"BONTAN B2B CALUSSA","Stereo Bloom","Saturday May 17","TBA"
"BOYS NOIZE","Cosmic Meadow","Friday May 16","TBA"
"BOYS NOIZE","Bionic Jungle","Saturday May 17","TBA"
"BRDWY","yeEDC!","Sunday May 18","TBA"
"BRODY JENNER PRESENTS BROSA","BeatBox Art Car","Saturday May 17","TBA"
"BRUTALISMUS 3000","Cosmic Meadow","Saturday May 17","TBA"
"BUNNY (RABBIT IN THE MOON)","Forest House","Saturday May 17","TBA"
"CALEB DENT","Metaphoenix","Saturday May 17","TBA"
"CALUSSA","Forest House","Saturday May 17","TBA"
"CARAVEL","Wasteland","Friday May 16","TBA"
"CARLITA","Neon Garden","Saturday May 17","TBA"
"CASPA B2B RUSKO","Basspod","Friday May 16","TBA"
"CATO ANAYA","Metaphoenix","Friday May 16","TBA"
