Artist,Stage,Date,Time
"Bassjackers","MAINSTAGE","FRI 17 JUL","TBA"
"Chainsmokers","MAINSTAGE","FRI 17 JUL","TBA"
"Disco Lines","MAINSTAGE","FRI 17 JUL","TBA"
"Henri PFR","MAINSTAGE","FRI 17 JUL","TBA"
"Marlon Hoffstadt","MAINSTAGE","FRI 17 JUL","TBA"
"Martin Garrix","MAINSTAGE","FRI 17 JUL","TBA"
"MATTN","MAINSTAGE","FRI 17 JUL","TBA"
"MC STRETCH","MAINSTAGE","FRI 17 JUL","TBA"
"NERVO","MAINSTAGE","FRI 17 JUL","TBA"
"Novah","MAINSTAGE","FRI 17 JUL","TBA"
"Sebastian Ingrosso","MAINSTAGE","FRI 17 JUL","TBA"
"Holy Priest","FREEDOM BY BUD","FRI 17 JUL","TBA"
"Max Styler","FREEDOM BY BUD","FRI 17 JUL","TBA"
"Mind Against","FREEDOM BY BUD","FRI 17 JUL","TBA"
"Miss Monique","FREEDOM BY BUD","FRI 17 JUL","TBA"
"Rose Ringed","FREEDOM BY BUD","FRI 17 JUL","TBA"
"Semsei","FREEDOM BY BUD","FRI 17 JUL","TBA"
"A Little Sound","THE ROSE GARDEN","FRI 17 JUL","TBA"
"ÆON:MODE","THE ROSE GARDEN","FRI 17 JUL","TBA"
"Blooom b2b Sudley","THE ROSE GARDEN","FRI 17 JUL","TBA"
"Camo & Krooked","THE ROSE GARDEN","FRI 17 JUL","TBA"
"Kanine","THE ROSE GARDEN","FRI 17 JUL","TBA"
"MAE.LIEN","THE ROSE GARDEN","FRI 17 JUL","TBA"
"Murdock","THE ROSE GARDEN","FRI 17 JUL","TBA"
"Primate","THE ROSE GARDEN","FRI 17 JUL","TBA"
"STOOG3S","THE ROSE GARDEN","FRI 17 JUL","TBA"
"Audiowave","ELIXIR","FRI 17 JUL","TBA"
"Flavour Drop","ELIXIR","FRI 17 JUL","TBA"
"High Grade Sound","ELIXIR","FRI 17 JUL","TBA"
"MC RIM","ELIXIR","FRI 17 JUL","TBA"
"Milinguap","ELIXIR","FRI 17 JUL","TBA"
"Monsieur","ELIXIR","FRI 17 JUL","TBA"
"Nona Van Braeckel","ELIXIR","FRI 17 JUL","TBA"
"Rick & James 80's Party","ELIXIR","FRI 17 JUL","TBA"
"Soul Shakers","ELIXIR","FRI 17 JUL","TBA"
"Tola OG","ELIXIR","FRI 17 JUL","TBA"
"Unregular","ELIXIR","FRI 17 JUL","TBA"
"DITHER","CAGE","FRI 17 JUL","TBA"
"elMefti","CAGE","FRI 17 JUL","TBA"
"GPF b2b DR DONK","CAGE","FRI 17 JUL","TBA"
"LOLALITA b2b BRENNT","CAGE","FRI 17 JUL","TBA"
"LUNAKORPZ","CAGE","FRI 17 JUL","TBA"
"MIND COMPRESSOR","CAGE","FRI 17 JUL","TBA"
"RAYZEN","CAGE","FRI 17 JUL","TBA"
"Sacha Malice","CAGE","FRI 17 JUL","TBA"
"SANDY WAREZ b2b REVENJA","CAGE","FRI 17 JUL","TBA"
"VERNEX b2b NRKi","CAGE","FRI 17 JUL","TBA"
"VON BIKRÄV","CAGE","FRI 17 JUL","TBA"
"Ben Malone","THE RAVE CAVE","FRI 17 JUL","TBA"
"ZUKE","THE RAVE CAVE","FRI 17 JUL","TBA"
"Cyborg-18","PLANAXIS","FRI 17 JUL","TBA"
"Fabio Fusco","PLANAXIS","FRI 17 JUL","TBA"
"Firaga","PLANAXIS","FRI 17 JUL","TBA"
"Hi Profile","PLANAXIS","FRI 17 JUL","TBA"
"John OO Fleming","PLANAXIS","FRI 17 JUL","TBA"
"Mad Maxx","PLANAXIS","FRI 17 JUL","TBA"
"Neelix","PLANAXIS","FRI 17 JUL","TBA"
"Omiki","PLANAXIS","FRI 17 JUL","TBA"
"Somnia","PLANAXIS","FRI 17 JUL","TBA"
"Trip-Tamine","PLANAXIS","FRI 17 JUL","TBA"
"Yannick Thiry","PLANAXIS","FRI 17 JUL","TBA"
"AWEN","MELODIA BY CORONA","FRI 17 JUL","TBA"
"Da Capo b2b Caiiro b2b Enoo Napa","MELODIA BY CORONA","FRI 17 JUL","TBA"
"Danni Gato","MELODIA BY CORONA","FRI 17 JUL","TBA"
"Isa Roos","MELODIA BY CORONA","FRI 17 JUL","TBA"
"Lerato Tsotetsi","MELODIA BY CORONA","FRI 17 JUL","TBA"
"Rosey Gold","MELODIA BY CORONA","FRI 17 JUL","TBA"
"Thakzin","MELODIA BY CORONA","FRI 17 JUL","TBA"
"Vanco","MELODIA BY CORONA","FRI 17 JUL","TBA"
"Bisoux","ATMOSPHERE","FRI 17 JUL","TBA"
"CARV","ATMOSPHERE","FRI 17 JUL","TBA"
"KUKO","ATMOSPHERE","FRI 17 JUL","TBA"
"MANDY b2b NEGITIV","ATMOSPHERE","FRI 17 JUL","TBA"
"Nico Moreno","ATMOSPHERE","FRI 17 JUL","TBA"
"Peterblue","ATMOSPHERE","FRI 17 JUL","TBA"
"ROW1","ATMOSPHERE","FRI 17 JUL","TBA"
"Sara Landry","ATMOSPHERE","FRI 17 JUL","TBA"
"Bibi Seck","CORE","FRI 17 JUL","TBA"
"Eileen","CORE","FRI 17 JUL","TBA"
"Kenny Montana B2B John Noseda","CORE","FRI 17 JUL","TBA"
"Modeselektor (DJ-set)","CORE","FRI 17 JUL","TBA"
"Sally C","CORE","FRI 17 JUL","TBA"
"Sasha B2B Young Marco","CORE","FRI 17 JUL","TBA"
"Eridu","CRYSTAL GARDEN","FRI 17 JUL","TBA"
"Marsolo","CRYSTAL GARDEN","FRI 17 JUL","TBA"
"Artbat","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"Da Tweekaz","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"DJ Sally","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"Hardwell b2b Sub Zero Project","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"MagiK","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"Manuals","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"Mike Williams","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"Nicky Romero","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"Ofenbach","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"R3hab","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"Sam Feldt","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"Tomas Grey","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"Whisnu Santika","THE GREAT LIBRARY","FRI 17 JUL","TBA"
"Bosart","MOOSE BAR","FRI 17 JUL","TBA"
"Funktastix","MOOSE BAR","FRI 17 JUL","TBA"
"Rino","MOOSE BAR","FRI 17 JUL","TBA"
